Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Afghanistan,AFG,South Asia,Low income,2019,64.833,26.9,6079.999924,13.24220181,3.213779926,11.21700001,2,,3481166.42,6034434.86,7601757.82
Angola,AGO,Sub-Saharan Africa,Lower middle income,2019,61.147,17.9,25209.99908,2.53335953,1.927457333,7.421000004,,,1168866,7237433.13,4176568.27
Albania,ALB,Europe & Central Asia,Upper middle income,2019,78.573,4.3,4829.999924,,3.916650057,11.47000027,,47.57714147,82288.1,51797.42,631629.88
Andorra,AND,Europe & Central Asia,High income,2019,,,500,6.71158504,3.15060997,,,100.0000037,2124.01,800.5,19002.03
United Arab Emirates,ARE,Middle East & North Africa,High income,2019,77.972,6,188860.0006,4.27504921,3.86736989,2.230000019,,99.14769965,382562.41,120204.51,1637717.4
Argentina,ARG,Latin America & Caribbean,Upper middle income,2019,76.667,3.5,168100.0061,9.5100708,4.724170208,9.840000153,,,1454140.45,1433228.63,9699014.8
Armenia,ARM,Europe & Central Asia,Upper middle income,2019,75.087,3.1,6170.000076,11.33526421,2.561850071,18.29999924,,67.76279579,77080.05,65538.36,779634.15
American Samoa,ASM,East Asia & Pacific,Upper middle income,2019,,,,,,,,,1515.39,1869.17,13137.95
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2019,77.016,,519.9999809,4.44295979,2.831335068,,,,2170.33,2388.77,19679.1
Australia,AUS,East Asia & Pacific,High income,2019,82.9,2.5,386529.9988,9.91078568,,5.159999847,,73.29258189,748180.59,217234.75,5323684.11
Austria,AUT,Europe & Central Asia,High income,2019,81.89512195,2.5,64769.99664,10.43403149,,4.489999771,,99.64076649,225666.76,75664.3,2230867.28
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2019,73.005,2.5,35509.99832,4.03829002,2.681080103,4.849999905,,21.03918997,246274.45,485453.75,2425972.43
Burundi,BDI,Sub-Saharan Africa,Low income,2019,61.584,,720.0000286,7.99091434,5.346684456,1.588999987,1.5,,487718.13,3547847.19,1657543.9
Belgium,BEL,Europe & Central Asia,High income,2019,81.99512195,2.5,93010.00214,10.65604973,,5.360000134,,87.93986502,361437.86,167180.75,2868651.21
Benin,BEN,Sub-Saharan Africa,Lower middle income,2019,61.771,7.7,7300.000191,2.38842916,2.965199947,1.470000029,3.5,,408200.59,4206673.34,1914911.63
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2019,61.577,14.1,5000,5.46494246,5.696845055,4.69299984,3.5,,1033604.87,9132747.88,4202706.27
Bangladesh,BGD,South Asia,Lower middle income,2019,72.591,11,90739.99786,2.48357606,1.326320052,4.438000202,2.5,37.68488358,3193719.6,11672523.04,28256673.9
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2019,75.11219512,3,39139.99939,7.12611389,,4.230000019,,70.4127472,254301.74,113444.29,2885594.96
Bahrain,BHR,Middle East & North Africa,High income,2019,77.292,,33259.99832,4.01147509,2.094912291,1.19599998,,91.23381816,28136.51,17671.65,240114.56
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2019,77.401,2.5,21069.99969,9.04909897,,15.68999958,,,108097.38,44868.5,997740.82
Belarus,BLR,Europe & Central Asia,Upper middle income,2019,74.22682927,2.5,57669.99817,5.86133957,4.97947979,4.159999847,,74.12021631,474116.11,147516.56,3119030.26
Belize,BLZ,Latin America & Caribbean,Upper middle income,2019,74.623,6.8,639.9999857,5.96689224,7.138390064,6.710999966,,,19723.08,19774.97,67569.35
Bermuda,BMU,North America,High income,2019,81.86658537,,,,,,,,1238.06,1136.35,15996.43
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2019,71.513,11.9,22340.00015,6.9233799,,3.819999933,,51.4255202,384770.19,1018636.18,2247712.97
Brazil,BRA,Latin America & Caribbean,Upper middle income,2019,75.881,2.6,434299.9878,9.5912714,,11.93000031,,47.8493132,9674037.03,9098465.25,46635945.49
Barbados,BRB,Latin America & Caribbean,High income,2019,79.19,3.7,1250,6.29990387,3.203989983,8.409999847,,,7171.56,9497.04,82999.58
Bhutan,BTN,South Asia,Lower middle income,2019,71.777,,1049.999952,3.60761595,5.675891876,2.502000093,4.5,64.63002626,19966.53,61090.57,132917.78
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2019,69.592,22.1,7250,6.04836559,6.914368629,22.61000061,,,118812.92,570962.71,433926.1
Central African Republic,CAF,Sub-Saharan Africa,Low income,2019,53.283,49.2,239.9999946,7.75300884,1.768712282,5.623000145,2.5,13.94619233,388818.06,3014630.66,1000223.98
Canada,CAN,North America,High income,2019,82.04878049,2.5,580210.022,10.84447765,,5.659999847,,84.36813002,919731.38,429529.27,8633778.43
Switzerland,CHE,Europe & Central Asia,High income,2019,83.90487805,2.5,37380.00107,11.29148102,,4.389999866,,99.63862569,222902.14,84137.81,1937774.53
Chile,CHL,Latin America & Caribbean,High income,2019,80.181,2.6,91370.00275,9.33272362,,7.289999962,,77.15227438,517285.68,289529.01,3710127.51
China,CHN,East Asia & Pacific,Upper middle income,2019,76.912,2.5,10707219.73,5.3502779,3.539999962,4.519999981,,68.03605785,35618966.21,21948791.67,324637810.5
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2019,57.783,4.7,10829.99992,3.29862952,3.71638155,3.318000078,3.5,,759110.39,7944311.29,3722986.86
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2019,59.292,6.7,9430.000305,3.59539533,3.080876589,3.638000011,2.5,,965883.2,8291011.16,4275622.09
Colombia,COL,Latin America & Caribbean,Upper middle income,2019,77.287,7.2,81040.00092,7.70943594,4.506219864,9.960000038,,18.16657441,2057580.09,1329645.2,8180313.65
Comoros,COM,Sub-Saharan Africa,Lower middle income,2019,64.321,,319.9999928,5.17030334,,8.081999779,2.5,,22959.42,117613.24,118499.1
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2019,80.279,3.4,8239.999771,7.27393246,6.7958498,11.48999977,,30.33322335,146395.56,85036.5,858381.78
Cuba,CUB,Latin America & Caribbean,Upper middle income,2019,78.802,2.5,25909.99985,11.34020519,,1.735000014,,36.75134752,331637.83,249793.52,2899579.72
Cyprus,CYP,Europe & Central Asia,High income,2019,80.982,2.5,7190.000057,7.00903225,,7.070000172,,77.07995022,31860.45,11705.26,277136.75
Germany,DEU,Europe & Central Asia,High income,2019,81.29268293,2.5,657400.0244,11.69724941,,3.140000105,,97.11994168,1993729.93,964084.88,24352417.88
Djibouti,DJI,Middle East & North Africa,Lower middle income,2019,67.112,13.1,419.9999869,1.79826784,,26.35700035,2.5,37.04960313,40983.58,243553.53,181916.05
Dominica,DMA,Latin America & Caribbean,Upper middle income,2019,,6.5,170.0000018,5.46006632,5.576189995,,4,,2295.27,3135.19,19634.23
Denmark,DNK,Europe & Central Asia,High income,2019,81.45121951,2.5,29700.00076,9.95583057,,5.019999981,,91.8892027,120229.35,72914.52,1508210.76
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2019,74.081,7,27229.99954,5.929142,4.042769909,6.360000134,,,445925.22,718196.59,2145242.04
Algeria,DZA,Middle East & North Africa,Lower middle income,2019,76.88,2.5,171250,6.24337101,6.100359917,10.51299953,,17.8390633,1176358.65,1498294.9,7447484.97
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2019,77.01,13.7,39290.00092,7.81824684,4.225659847,3.809999943,,41.69898671,698163.37,677848.36,2999085.47
Eritrea,ERI,Sub-Saharan Africa,Low income,2019,66.321,,879.9999952,4.45876694,,5.993999958,2.5,,278171.35,1421741.42,997783.91
Spain,ESP,Europe & Central Asia,High income,2019,83.83170732,2.5,239979.9957,9.13213158,,14.10000038,,95.66549892,923644.79,494856.88,11233598.7
Estonia,EST,Europe & Central Asia,High income,2019,78.64634146,2.5,10180.00031,6.7304492,,4.449999809,,93.06132184,44911.04,17540.08,393304.6
Ethiopia,ETH,Sub-Saharan Africa,Low income,2019,66.597,21.9,18360.00061,3.23808599,,2.325999975,3,6.480693308,2810543.91,22129553.05,13114232.55
Finland,FIN,Europe & Central Asia,High income,2019,81.98292683,2.5,40709.99908,9.15348339,,6.690000057,,84.09986558,174896.2,38136.21,1457999.01
Fiji,FJI,East Asia & Pacific,Upper middle income,2019,67.444,4.9,1629.999995,3.81607008,5.067880154,4.447999954,,,25210.6,50218.83,253440.03
France,FRA,Europe & Central Asia,High income,2019,82.82682927,2.5,300519.989,11.05747223,,8.409999847,,78.58911692,1973126.7,758581.72,15334917.58
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2019,66.467,16.6,5250,2.76836205,2.732324123,20.74200058,,,57444.84,262574.39,303091.09
United Kingdom,GBR,Europe & Central Asia,High income,2019,81.20487805,2.5,348920.0134,10.15402699,,3.74000001,,98.08153743,1288814.64,1032897.07,17390579.55
Georgia,GEO,Europe & Central Asia,Upper middle income,2019,73.767,7.8,10109.99966,6.65744257,3.808640003,11.56999969,,34.72227577,134035.9,92210.47,1222059.41
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2019,64.074,5.2,20040.00092,3.41858864,,4.315999985,3.5,12.86554531,864675.09,6428231.58,4992952.6
Guinea,GIN,Sub-Saharan Africa,Low income,2019,61.602,,3950.000048,3.98389959,1.848369956,5.019999981,2.5,,476199.6,4826880.33,2169346.53
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2019,58.322,,330.0000131,8.34976101,2.947819948,6.035999775,1.5,11.6411223,77600.05,555517.21,319742.08
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2019,58.735,,5349.999905,3.13503671,,8.678999901,,,34180.69,300814.65,167488.68
